slug,brand,displayName,yearRange,status,representativeBattery,fuelMap,customerHeroBattery,customerCardDisplay,source,catalogMatch
seltos-sp2-fl,kia,더 뉴 셀토스,2023-현재,matched,AGM60L,,AGM60L,AGM60L,operator_slug_primary,true
sportage-sl,kia,스포티지 R,2004-2010,matched,90R,"{""가솔린"":""80L"",""디젤"":""90R""}",80L,90R,operator_slug_primary,true
sportage-ql,kia,스포티지 4세대,2015-2020,matched,AGM80L,"{""가솔린"":""AGM70L"",""디젤"":""AGM80L"",""LPG"":""DIN74L""}",AGM70L,AGM80L,operator_slug_primary,true
sportage-nq5,kia,스포티지 5세대,2021-2023,matched,AGM70L,"{""가솔린"":""AGM70L"",""디젤"":""AGM70L"",""LPG"":""AGM80L"",""하이브리드"":""AGM60L""}",AGM70L,AGM70L,operator_slug_primary,true
sportage-nq5-fl,kia,더 뉴 스포티지,2023-현재,matched,AGM70L,"{""가솔린"":""AGM70L"",""디젤"":""AGM70L"",""LPG"":""AGM80L"",""하이브리드"":""AGM60L""}",AGM70L,AGM70L,operator_slug_primary,true
sorento-xm,kia,쏘렌토 R,2009-2014,matched,90L,,90L,90L,operator_slug_primary,true
sorento-um,kia,올 뉴 쏘렌토,2014-2017,matched,AGM95L,,AGM95L,AGM95L,operator_slug_primary,true
sorento-um-fl,kia,더 뉴 쏘렌토,2017-2020,matched,AGM95L,,AGM95L,AGM95L,operator_slug_primary,true
sorento-mq4,kia,쏘렌토 4세대,2020-2023,matched,AGM95L,"{""가솔린"":""AGM95L"",""디젤"":""AGM95L"",""하이브리드"":""AGM60L""}",AGM95L,AGM95L,operator_slug_primary,true
sorento-mq4-fl,kia,더 뉴 쏘렌토,2023-현재,matched,AGM95L,"{""가솔린"":""AGM95L"",""디젤"":""AGM95L"",""하이브리드"":""AGM60L""}",AGM95L,AGM95L,operator_slug_primary,true
carnival-vq,kia,그랜드 카니발,2006-2014,matched,100L,"{""디젤"":""100L"",""LPG"":""80L""}",100L,100L,operator_slug_primary,true
